date,state,flip,cases,deaths
1/07/2020,Ayacucho,5,32,0
2/07/2020,Ayacucho,5,48,0
3/07/2020,Ayacucho,5,25,0
4/07/2020,Ayacucho,5,48,0
5/07/2020,Ayacucho,5,14,0
6/07/2020,Ayacucho,5,48,0
7/07/2020,Ayacucho,5,43,0
8/07/2020,Ayacucho,5,57,0
9/07/2020,Ayacucho,5,33,0
10/07/2020,Ayacucho,5,71,0
11/07/2020,Ayacucho,5,50,0
12/07/2020,Ayacucho,5,23,0
13/07/2020,Ayacucho,5,39,0
14/07/2020,Ayacucho,5,78,0
15/07/2020,Ayacucho,5,75,0
16/07/2020,Ayacucho,5,90,0
17/07/2020,Ayacucho,5,115,0
18/07/2020,Ayacucho,5,105,0
19/07/2020,Ayacucho,5,25,0
20/07/2020,Ayacucho,5,104,0
21/07/2020,Ayacucho,5,80,0
22/07/2020,Ayacucho,5,108,0
23/07/2020,Ayacucho,5,72,0
24/07/2020,Ayacucho,5,90,0
25/07/2020,Ayacucho,5,127,0
26/07/2020,Ayacucho,5,24,0
27/07/2020,Ayacucho,5,104,0
28/07/2020,Ayacucho,5,91,0
29/07/2020,Ayacucho,5,114,0
30/07/2020,Ayacucho,5,120,0
31/07/2020,Ayacucho,5,122,0
1/08/2020,Ayacucho,5,117,0
2/08/2020,Ayacucho,5,36,0
3/08/2020,Ayacucho,5,121,0
4/08/2020,Ayacucho,5,119,0
5/08/2020,Ayacucho,5,147,0
6/08/2020,Ayacucho,5,173,0
7/08/2020,Ayacucho,5,176,0
8/08/2020,Ayacucho,5,121,0
9/08/2020,Ayacucho,5,60,0
10/08/2020,Ayacucho,5,157,0
11/08/2020,Ayacucho,5,178,0
12/08/2020,Ayacucho,5,178,0
13/08/2020,Ayacucho,5,183,0
14/08/2020,Ayacucho,5,177,0
15/08/2020,Ayacucho,5,125,0
16/08/2020,Ayacucho,5,59,0
17/08/2020,Ayacucho,5,177,0
18/08/2020,Ayacucho,5,197,0
19/08/2020,Ayacucho,5,145,0
20/08/2020,Ayacucho,5,169,0
21/08/2020,Ayacucho,5,142,0
22/08/2020,Ayacucho,5,159,0
23/08/2020,Ayacucho,5,19,0
24/03/2020,Cajamarca,6,1,0
1/04/2020,Cajamarca,6,1,0
2/04/2020,Cajamarca,6,1,0
3/04/2020,Cajamarca,6,2,0
7/04/2020,Cajamarca,6,3,0
8/04/2020,Cajamarca,6,3,0
9/04/2020,Cajamarca,6,6,0
11/04/2020,Cajamarca,6,1,0
12/04/2020,Cajamarca,6,1,0
13/04/2020,Cajamarca,6,4,0
14/04/2020,Cajamarca,6,7,0
15/04/2020,Cajamarca,6,10,0
16/04/2020,Cajamarca,6,6,0
17/04/2020,Cajamarca,6,10,0
18/04/2020,Cajamarca,6,7,0
19/04/2020,Cajamarca,6,2,0
20/04/2020,Cajamarca,6,11,0
21/04/2020,Cajamarca,6,9,0
22/04/2020,Cajamarca,6,35,0
23/04/2020,Cajamarca,6,8,0
24/04/2020,Cajamarca,6,22,0
25/04/2020,Cajamarca,6,17,0
26/04/2020,Cajamarca,6,3,0
27/04/2020,Cajamarca,6,11,0
28/04/2020,Cajamarca,6,14,0
29/04/2020,Cajamarca,6,29,0
