date,state,fips,cases,deaths
2020-04-22,Arequipa,ARE,43,0
2020-04-22,Ayacucho,AYA,2,0
2020-04-22,Cajamarca,CAJ,35,0
2020-04-22,Callao,CAL,123,0
2020-04-22,Cusco,CUS,19,0
2020-04-22,Huancavelica,HUA,4,0
2020-04-22,Huanuco,HCO,5,0
2020-04-22,Ica,ICA,32,0
2020-04-22,Junin,JUN,20,0
2020-04-22,La Libertad,LIB,46,0
2020-04-22,Lambayeque,LAM,138,0
2020-04-22,Lima,LIM,1363,0
2020-04-22,Lima Region,LRE,70,0
2020-04-22,Loreto,LOR,18,0
2020-04-22,Madre de Dios,MDI,13,0
2020-04-22,Moquegua,MOQ,4,0
2020-04-22,Pasco,PAS,9,0
2020-04-22,Piura,PIU,72,0
2020-04-22,Puno,PUN,8,0
2020-04-22,San Martin,SMA,5,0
2020-04-22,Tumbes,TUM,7,0
2020-04-22,Ucayali,UCA,24,0
2020-04-23,Amazonas,AMA,2,0
2020-04-23,Ancash,ANC,46,0
2020-04-23,Apurimac,APU,5,0
2020-04-23,Arequipa,ARE,56,0
2020-04-23,Ayacucho,AYA,2,0
2020-04-23,Cajamarca,CAJ,8,0
2020-04-23,Callao,CAL,159,0
2020-04-23,Cusco,CUS,14,0
2020-04-23,Huancavelica,HUA,3,0
2020-04-23,Huanuco,HCO,9,0
2020-04-23,Ica,ICA,34,0
2020-04-23,Junin,JUN,22,0
2020-04-23,La Libertad,LIB,40,0
2020-04-23,Lambayeque,LAM,177,0
2020-04-23,Lima,LIM,1229,0
2020-04-23,Lima Region,LRE,50,0
2020-04-23,Loreto,LOR,25,0
2020-04-23,Madre de Dios,MDI,3,0
2020-04-23,Moquegua,MOQ,7,0
2020-04-23,Pasco,PAS,12,0
2020-04-23,Piura,PIU,102,0
2020-04-23,Puno,PUN,8,0
2020-04-23,San Martin,SMA,2,0
2020-04-23,Tumbes,TUM,12,0
2020-04-23,Ucayali,UCA,15,0
2020-04-24,Amazonas,AMA,6,0
2020-04-24,Ancash,ANC,56,0
2020-04-24,Apurimac,APU,2,0
2020-04-24,Arequipa,ARE,66,0
2020-04-24,Ayacucho,AYA,5,0
2020-04-24,Cajamarca,CAJ,22,0
2020-04-24,Callao,CAL,124,0
2020-04-24,Cusco,CUS,3,0
2020-04-24,Huancavelica,HUA,3,0
2020-04-24,Huanuco,HCO,9,0
2020-04-24,Ica,ICA,16,0
2020-04-24,Junin,JUN,11,0
2020-04-24,La Libertad,LIB,22,0
2020-04-24,Lambayeque,LAM,214,0
